file_format,model,context_pages,total_questions,correct_answers,accuracy
yaml,gemma2:9b,1,44,34,77.27
yaml,llama3.2:1b,3,44,0,0.0
yaml,llama3.2,3,44,15,34.09
yaml,llama3.1,3,44,11,25.0
yaml,phi3:mini-128k,3,44,6,13.64
yaml,phi3:medium-128k,3,44,5,11.36
yaml,gemma2:9b,3,44,12,27.27
yaml,llama3.2:1b,5,44,0,0.0
yaml,llama3.2,5,44,6,13.64
yaml,llama3.1,5,44,0,0.0
yaml,phi3:mini-128k,5,44,8,18.18
yaml,phi3:medium-128k,5,44,6,13.64
yaml,gemma2:9b,5,44,8,18.18
